State,County,FIPS,Pop_2019
Alabama,Alabama,1000,4903185
Alabama,Autauga,1001,55869
Alabama,Baldwin,1003,223234
Alabama,Barbour,1005,24686
Alabama,Bibb,1007,22394
Alabama,Blount,1009,57826
Alabama,Bullock,1011,10101
Alabama,Butler,1013,19448
Alabama,Calhoun,1015,113605
Alabama,Chambers,1017,33254
Alabama,Cherokee,1019,26196
Alabama,Chilton,1021,44428
Alabama,Choctaw,1023,12589
Alabama,Clarke,1025,23622
Alabama,Clay,1027,13235
Alabama,Cleburne,1029,14910
Alabama,Coffee,1031,52342
Alabama,Colbert,1033,55241
Alabama,Conecuh,1035,12067
Alabama,Coosa,1037,10663
Alabama,Covington,1039,37049
Alabama,Crenshaw,1041,13772
Alabama,Cullman,1043,83768
Alabama,Dale,1045,49172
Alabama,Dallas,1047,37196
Alabama,DeKalb,1049,71513
Alabama,Elmore,1051,81209
Alabama,Escambia,1053,36633
Alabama,Etowah,1055,102268
Alabama,Fayette,1057,16302
Alabama,Franklin,1059,31362
Alabama,Geneva,1061,26271
Alabama,Greene,1063,8111
Alabama,Hale,1065,14651
Alabama,Henry,1067,17205
Alabama,Houston,1069,105882
Alabama,Jackson,1071,51626
Alabama,Jefferson,1073,658573
Alabama,Lamar,1075,13805
Alabama,Lauderdale,1077,92729
Alabama,Lawrence,1079,32924
Alabama,Lee,1081,164542
Alabama,Limestone,1083,98915
Alabama,Lowndes,1085,9726
Alabama,Macon,1087,18068
Alabama,Madison,1089,372909
Alabama,Marengo,1091,18863
Alabama,Marion,1093,29709
Alabama,Marshall,1095,96774
Alabama,Mobile,1097,413210
Alabama,Monroe,1099,20733
Alabama,Montgomery,1101,226486
Alabama,Morgan,1103,119679
Alabama,Perry,1105,8923
Alabama,Pickens,1107,19930
Alabama,Pike,1109,33114
Alabama,Randolph,1111,22722
Alabama,Russell,1113,57961
Alabama,Shelby,1117,217702
Alabama,St. Clair,1115,89512
Alabama,Sumter,1119,12427
Alabama,Talladega,1121,79978
Alabama,Tallapoosa,1123,40367
Alabama,Tuscaloosa,1125,209355
Alabama,Walker,1127,63521
Alabama,Washington,1129,16326
Alabama,Wilcox,1131,10373
Alabama,Winston,1133,23629
Alaska,Alaska,2000,731545
Alaska,Aleutians East Borough,2013,3337
Alaska,Aleutians West Census Area,2016,5634
Alaska,Anchorage,2020,288000
Alaska,Bethel Census Area,2050,18386
Alaska,Bristol Bay Borough,2060,836
Alaska,Denali Borough,2068,2097
Alaska,Dillingham Census Area,2070,4916
Alaska,Fairbanks North Star Borough,2090,96849
Alaska,Haines Borough,2100,2530
Alaska,Hoonah-Angoon Census Area,2105,2148
Alaska,Juneau City and Borough,2110,31974
Alaska,Kenai Peninsula Borough,2122,58708
Alaska,Ketchikan Gateway Borough,2130,13901
Alaska,Kodiak Island Borough,2150,12998
Alaska,Kusilvak Census Area,2158,8314
Alaska,Lake and Peninsula Borough,2164,1592
Alaska,Matanuska-Susitna Borough,2170,108317
Alaska,Nome Census Area,2180,10004
Alaska,North Slope Borough,2185,9832
Alaska,Northwest Arctic Borough,2188,7621
