Sum_Level,Region_FIPS,Division_FIPS,Stat_FIPS,County_FIPS,FIPS,State,County,Pop_Est_2019
40,3,6,1,0,1000,Alabama,Alabama,4903185
50,3,6,1,1,1001,Alabama,Autauga,55869
50,3,6,1,3,1003,Alabama,Baldwin,223234
50,3,6,1,5,1005,Alabama,Barbour,24686
50,3,6,1,7,1007,Alabama,Bibb,22394
50,3,6,1,9,1009,Alabama,Blount,57826
50,3,6,1,11,1011,Alabama,Bullock,10101
50,3,6,1,13,1013,Alabama,Butler,19448
50,3,6,1,15,1015,Alabama,Calhoun,113605
50,3,6,1,17,1017,Alabama,Chambers,33254
50,3,6,1,19,1019,Alabama,Cherokee,26196
50,3,6,1,21,1021,Alabama,Chilton,44428
50,3,6,1,23,1023,Alabama,Choctaw,12589
50,3,6,1,25,1025,Alabama,Clarke,23622
50,3,6,1,27,1027,Alabama,Clay,13235
50,3,6,1,29,1029,Alabama,Cleburne,14910
50,3,6,1,31,1031,Alabama,Coffee,52342
50,3,6,1,33,1033,Alabama,Colbert,55241
50,3,6,1,35,1035,Alabama,Conecuh,12067
50,3,6,1,37,1037,Alabama,Coosa,10663
50,3,6,1,39,1039,Alabama,Covington,37049
50,3,6,1,41,1041,Alabama,Crenshaw,13772
50,3,6,1,43,1043,Alabama,Cullman,83768
50,3,6,1,45,1045,Alabama,Dale,49172
50,3,6,1,47,1047,Alabama,Dallas,37196
50,3,6,1,49,1049,Alabama,DeKalb,71513
50,3,6,1,51,1051,Alabama,Elmore,81209
50,3,6,1,53,1053,Alabama,Escambia,36633
50,3,6,1,55,1055,Alabama,Etowah,102268
50,3,6,1,57,1057,Alabama,Fayette,16302
50,3,6,1,59,1059,Alabama,Franklin,31362
50,3,6,1,61,1061,Alabama,Geneva,26271
50,3,6,1,63,1063,Alabama,Greene,8111
50,3,6,1,65,1065,Alabama,Hale,14651
50,3,6,1,67,1067,Alabama,Henry,17205
50,3,6,1,69,1069,Alabama,Houston,105882
50,3,6,1,71,1071,Alabama,Jackson,51626
50,3,6,1,73,1073,Alabama,Jefferson,658573
50,3,6,1,75,1075,Alabama,Lamar,13805
50,3,6,1,77,1077,Alabama,Lauderdale,92729
50,3,6,1,79,1079,Alabama,Lawrence,32924
50,3,6,1,81,1081,Alabama,Lee,164542
50,3,6,1,83,1083,Alabama,Limestone,98915
50,3,6,1,85,1085,Alabama,Lowndes,9726
50,3,6,1,87,1087,Alabama,Macon,18068
50,3,6,1,89,1089,Alabama,Madison,372909
